propertyName1,propertyName1_link,propertyName2,propertyName3
Apple iPhone 14 Pro (128 GB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-128GB-Gold/dp/B0BDJBGBF3?ref_=ast_sto_dp&th=1&psc=1,"1,22,999",313
Apple iPhone 14 Pro (1 TB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-1TB-Gold/dp/B0BDJ54W8Y?ref_=ast_sto_dp&th=1&psc=1,"1,72,999",313
Apple iPhone 14 Pro (256 GB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-256GB-Gold/dp/B0BDJ8WMV7?ref_=ast_sto_dp&th=1&psc=1,"1,39,900",313
Apple iPhone 14 Pro (512 GB) - Gold,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-512GB-Gold/dp/B0BDJF3WKV?ref_=ast_sto_dp&th=1&psc=1,"1,52,999",313
Apple iPhone 14 Pro (128 GB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-128GB-Silver/dp/B0BDJDZ7RH?ref_=ast_sto_dp&th=1&psc=1,"1,22,999",313
Apple iPhone 14 Pro (1 TB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-1TB-Silver/dp/B0BDJH1NCQ?ref_=ast_sto_dp&th=1&psc=1,"1,72,999",313
Apple iPhone 14 Pro (256 GB) - Silver,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-256GB-Silver/dp/B0BDJ5HSFH?ref_=ast_sto_dp&th=1&psc=1,"1,32,999",313
Apple iPhone 14 Pro (128 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-128GB-Space-Black/dp/B0BDJ7P6NG?ref_=ast_sto_dp&th=1&psc=1,"1,22,999",313
Apple iPhone 14 Pro (1 TB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Space-Black/dp/B0BDJ1DFMT?ref_=ast_sto_dp&th=1&psc=1,"1,73,039",313
Apple iPhone 14 Pro (256 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-256GB-Space-Black/dp/B0BDJ52N7F?ref_=ast_sto_dp&th=1&psc=1,"1,32,999",313
Apple iPhone 14 Pro (512 GB) - Space Black,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-512GB-Space-Black/dp/B0BDJKF6G6?ref_=ast_sto_dp&th=1&psc=1,"1,52,999",313
Apple iPhone 14 Pro Max (128 GB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-128GB-Deep-Purple/dp/B0BDJH6GL8?ref_=ast_sto_dp&th=1&psc=1,"1,27,999",301
Apple iPhone 14 Pro Max (1 TB) - Deep Purple,https://www.amazon.in/stores/page/9505ACAA-EF13-4AE6-AB5E-F14749A7822E?ingress=2&visitId=1475566b-25e8-49d9-aacf-ce49b080321a&ref_=ast_bln/Apple-iPhone-Plus-256GB-Starlight/dp/B0BDHXT4B5?ref_=ast_sto_dp&th=1&psc=1/Apple-iPhone-Pro-Deep-Purple/dp/B0BDJ48V1N?ref_=ast_sto_dp&th=1&psc=1,"1,89,900",301
